symbol,name,sector,industry,market_cap
PDCE,"PDC Energy, Inc.",Energy,"Oil, Gas & Consumable Fuels",Mid Cap
PDFS,"PDF Solutions, Inc.",Information Technology,Software,Small Cap
PDYN,Palladyne AI Corp. Common Stock,Industrials,Building Products,Small Cap
PEGA,Pegasystems Inc.,Information Technology,Software,Mid Cap
PEN,"Penumbra, Inc.",Health Care,Health Care Technology,Large Cap
PENG,Penguin Solutions Inc. Ordinary Shares,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
PENN,"PENN Entertainment, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
PEP,"PepsiCo, Inc.",Consumer Staples,Beverages,Mega Cap
PEPG,PepGen Inc. Common Stock,Health Care,Biotechnology,Small Cap
PFE,"Pfizer, Inc.",Health Care,Pharmaceuticals,Large Cap
PFGC,Performance Food Group Company,Consumer Staples,Food & Staples Retailing,Large Cap
PFPT,"Proofpoint, Inc.",Information Technology,Software,Mid Cap
PG,The Procter & Gamble Company,Consumer Staples,Household Products,Mega Cap
PGEN,Precigen Inc,Health Care,Biotechnology,Small Cap
PGNY,"Progyny, Inc.",Health Care,Health Care Providers & Services,Small Cap
PH,Parker-Hannifin Corporation,Industrials,Machinery,Large Cap
PHAT,"Phathom Pharmaceuticals, Inc.",Health Care,Biotechnology,Small Cap
PHLT,Performant Healthcare Inc. Common Stock,Consumer Staples,Household Products,Small Cap
PHM,"PulteGroup, Inc.",Industrials,Construction & Engineering,Large Cap
PHR,"Phreesia, Inc.",Health Care,Health Care Providers & Services,Small Cap
PI,"Impinj, Inc.",Information Technology,Communications Equipment,Mid Cap
PII,Polaris Inc.,Consumer Discretionary,Automobiles,Mid Cap
PINS,"Pinterest, Inc.",Communication Services,Diversified Telecommunication Services,Large Cap
PKE,Park Aerospace Corp.,Industrials,Aerospace & Defense,Small Cap
PKG,Packaging Corporation of America,Consumer Discretionary,Distributors,Large Cap
PKI,"PerkinElmer, Inc.",Health Care,Biotechnology,Large Cap
PKOH,Park-Ohio Holdings Corp.,Industrials,Trading Companies & Distributors,Small Cap
PLAB,"Photronics, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
PLNT,"Planet Fitness, Inc. Class A",Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
PLOW,"Douglas Dynamics, Inc.",Consumer Discretionary,Auto Components,Small Cap
